Namespace(batch_size=4, bits=8, checkpoint_iters=1000, clip=0.5, decoder_fuse_level=1, distance1=1, distance2=2, encoder_fuse_level=1, eval='../../data/eval', eval_batch_size=1, eval_iters=4500, eval_mv='../../data/eval_mv', fuse_encoder=True, gamma=0.5, gpus='0', iterations=10, load_iter=None, load_model_name=None, lr=0.00025, max_train_iters=10000, model_dir='model', num_crops=2, out_dir='output', patch=64, save_codes=True, save_model_name='gaze_model', save_out_img=True, schedule='50000,60000,70000,80000,90000', shrink=2, stack=True, train='../../data/new-data/train', train_mv='../../data/new-data/train_mv', v_compress=True, warp=True)

Creating loader for ../../data/new-data/train...
26594 images loaded.
	distance=1/2
Loader for 26594 images (6649 batches) created.
	Encoder fuse level: 1
	Decoder fuse level: 1
[TRAIN] Iter[80]; LR: 0.00025; Loss: 0.125297; Backprop: 0.0941 sec; Batch: 0.4965 sec
[TRAIN] Iter[81]; LR: 0.00025; Loss: 0.125163; Backprop: 0.0943 sec; Batch: 0.4975 sec
[TRAIN] Iter[82]; LR: 0.00025; Loss: 0.117240; Backprop: 0.0938 sec; Batch: 0.4963 sec
[TRAIN] Iter[83]; LR: 0.00025; Loss: 0.128554; Backprop: 0.0936 sec; Batch: 0.4967 sec
[TRAIN] Iter[84]; LR: 0.00025; Loss: 0.132548; Backprop: 0.0936 sec; Batch: 0.4979 sec
[TRAIN] Iter[85]; LR: 0.00025; Loss: 0.122399; Backprop: 0.0941 sec; Batch: 0.4975 sec
[TRAIN] Iter[86]; LR: 0.00025; Loss: 0.112178; Backprop: 0.0939 sec; Batch: 0.4963 sec
[TRAIN] Iter[87]; LR: 0.00025; Loss: 0.118054; Backprop: 0.0940 sec; Batch: 0.4969 sec
[TRAIN] Iter[88]; LR: 0.00025; Loss: 0.124524; Backprop: 0.0939 sec; Batch: 0.4964 sec
[TRAIN] Iter[89]; LR: 0.00025; Loss: 0.113787; Backprop: 0.0935 sec; Batch: 0.4973 sec
[TRAIN] Iter[90]; LR: 0.00025; Loss: 0.098030; Backprop: 0.0943 sec; Batch: 0.4976 sec
[TRAIN] Iter[91]; LR: 0.00025; Loss: 0.100081; Backprop: 0.0940 sec; Batch: 0.4969 sec
[TRAIN] Iter[92]; LR: 0.00025; Loss: 0.103152; Backprop: 0.0943 sec; Batch: 0.4971 sec
[TRAIN] Iter[93]; LR: 0.00025; Loss: 0.088586; Backprop: 0.0941 sec; Batch: 0.4975 sec
[TRAIN] Iter[94]; LR: 0.00025; Loss: 0.118937; Backprop: 0.0942 sec; Batch: 0.4974 sec
[TRAIN] Iter[95]; LR: 0.00025; Loss: 0.154992; Backprop: 0.0937 sec; Batch: 0.4967 sec
[TRAIN] Iter[96]; LR: 0.00025; Loss: 0.131418; Backprop: 0.0939 sec; Batch: 0.4962 sec
[TRAIN] Iter[97]; LR: 0.00025; Loss: 0.104459; Backprop: 0.0936 sec; Batch: 0.4972 sec
[TRAIN] Iter[98]; LR: 0.00025; Loss: 0.086898; Backprop: 0.0938 sec; Batch: 0.4965 sec
[TRAIN] Iter[99]; LR: 0.00025; Loss: 0.116844; Backprop: 0.0941 sec; Batch: 0.4974 sec
[TRAIN] Iter[100]; LR: 0.00025; Loss: 0.124943; Backprop: 0.0938 sec; Batch: 0.4971 sec
Loss at each step:
0.2203 0.1715 0.1400 0.1141 0.0972 0.0978 0.0990 0.1005 0.1028 0.1061 

[TRAIN] Iter[101]; LR: 0.00025; Loss: 0.111581; Backprop: 0.0940 sec; Batch: 0.4975 sec
[TRAIN] Iter[102]; LR: 0.00025; Loss: 0.094775; Backprop: 0.0937 sec; Batch: 0.4970 sec
[TRAIN] Iter[103]; LR: 0.00025; Loss: 0.083245; Backprop: 0.0941 sec; Batch: 0.4967 sec
[TRAIN] Iter[104]; LR: 0.00025; Loss: 0.139257; Backprop: 0.0937 sec; Batch: 0.4966 sec
[TRAIN] Iter[105]; LR: 0.00025; Loss: 0.113700; Backprop: 0.0944 sec; Batch: 0.4977 sec
[TRAIN] Iter[106]; LR: 0.00025; Loss: 0.121505; Backprop: 0.0941 sec; Batch: 0.4969 sec
[TRAIN] Iter[107]; LR: 0.00025; Loss: 0.093446; Backprop: 0.0942 sec; Batch: 0.4965 sec
[TRAIN] Iter[108]; LR: 0.00025; Loss: 0.079527; Backprop: 0.0942 sec; Batch: 0.4972 sec
[TRAIN] Iter[109]; LR: 0.00025; Loss: 0.114957; Backprop: 0.0941 sec; Batch: 0.4975 sec
[TRAIN] Iter[110]; LR: 0.00025; Loss: 0.135994; Backprop: 0.0938 sec; Batch: 0.4967 sec
[TRAIN] Iter[111]; LR: 0.00025; Loss: 0.087145; Backprop: 0.0941 sec; Batch: 0.4968 sec
[TRAIN] Iter[112]; LR: 0.00025; Loss: 0.083875; Backprop: 0.0939 sec; Batch: 0.4970 sec
[TRAIN] Iter[113]; LR: 0.00025; Loss: 0.085092; Backprop: 0.0943 sec; Batch: 0.4971 sec
[TRAIN] Iter[114]; LR: 0.00025; Loss: 0.120876; Backprop: 0.0943 sec; Batch: 0.4969 sec
[TRAIN] Iter[115]; LR: 0.00025; Loss: 0.127159; Backprop: 0.0940 sec; Batch: 0.4971 sec
[TRAIN] Iter[116]; LR: 0.00025; Loss: 0.117135; Backprop: 0.0940 sec; Batch: 0.4972 sec
[TRAIN] Iter[117]; LR: 0.00025; Loss: 0.095019; Backprop: 0.0943 sec; Batch: 0.4975 sec
[TRAIN] Iter[118]; LR: 0.00025; Loss: 0.107856; Backprop: 0.0939 sec; Batch: 0.4968 sec
[TRAIN] Iter[119]; LR: 0.00025; Loss: 0.093013; Backprop: 0.0938 sec; Batch: 0.4973 sec
[TRAIN] Iter[120]; LR: 0.00025; Loss: 0.066097; Backprop: 0.0940 sec; Batch: 0.4969 sec
[TRAIN] Iter[121]; LR: 0.00025; Loss: 0.109175; Backprop: 0.0936 sec; Batch: 0.4962 sec
[TRAIN] Iter[122]; LR: 0.00025; Loss: 0.071450; Backprop: 0.0941 sec; Batch: 0.4974 sec
[TRAIN] Iter[123]; LR: 0.00025; Loss: 0.117690; Backprop: 0.0943 sec; Batch: 0.4973 sec
[TRAIN] Iter[124]; LR: 0.00025; Loss: 0.127574; Backprop: 0.0943 sec; Batch: 0.4973 sec
[TRAIN] Iter[125]; LR: 0.00025; Loss: 0.079718; Backprop: 0.0939 sec; Batch: 0.4973 sec
[TRAIN] Iter[126]; LR: 0.00025; Loss: 0.098018; Backprop: 0.0946 sec; Batch: 0.4988 sec
